Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y
d09_46_G06_1_2_S,glasshouse_b1,3811,T1,R2,S,4007,1651,1351,53,1715.773585,496.9433962,5014,1649,1330,5374,1652,1305,4007,1659.192413,1354.880459,2535,1334.692702,717.5786982,379663,1452.116045,1349.605877,2558,1559.818217,375.9468335,4007,1659.192413,1354.880459
d09_47_G06_1_3_S,glasshouse_b1,3811,T1,R3,S,2890,1434,772,71,1598.43662,257.1971831,5696,1593,639,5735,1593,639,2890,1423.407958,766.9529412,2673,1466.40853,717.298541,389201,1022.692909,875.8017503,3280,1605.422561,252.6039634,2890,1423.407958,766.9529412
d09_48_G06_1_4_S,glasshouse_b1,3811,T1,R4,S,3889,1364,1130,51,1583.176471,275.0784314,5830,1383,1076,8338,1502,696,3889,1360.540756,1130.065312,2978,1427.891874,530.4516454,351579,1457.143097,777.1903754,5885,1670.847239,309.4509771,3889,1360.540756,1130.065312
d13_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,5493,1987,1844,66,1699.469697,463.2272727,14992,1973,1806,17670,2101,1590,5493,1988.072456,1843.545603,6808,2219.967391,2133.659812,368601,1605.456797,1467.07007,7652,1632.086121,382.4290382,5493,1988.072456,1843.545603
d13_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,7553,1725,1929,56,1868.410714,1583.875,12773,1755,1350,12695,1756,1342,7553,1754.438634,1928.871839,5990,1883.873456,2194.135559,379150,1599.978642,1480.657199,6179,1481.231915,387.9877003,7553,1754.438634,1928.871839
d13_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,15228,1348,1371,65,1557.369231,608.4923077,14412,1498,1112,14625,1496,1118,15228,1339.282112,1371.410625,6879,1467.371856,1008.850996,389253,1443.530167,1048.991134,7723,1466.419138,1003.039622,11102,1316.577914,1481.18294
d13_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,5913,1933,2249,53,1583.113208,843.0566038,15109,1806,2096,15747,1611,1110,5913,1901.757991,2257.555894,7250,1484.123034,882.6808276,388098,1451.10577,350.0756484,10968,1626.257659,462.5032823,6641,1388.336245,684.0843246
d13_05_G01_1_1_T,glasshouse_b1,Gladius,T1,R1,T,5025,1394,1370,63,1463.84127,1135.507937,10416,1581,1113,15003,1532,1601,5025,1404.118806,1371.720796,6342,1490.238726,1070.04147,351864,1456.90726,1354.636155,8340,1529.494125,1943.241367,5025,1404.118806,1371.720796
d13_06_G01_1_2_T,glasshouse_b1,Gladius,T1,R2,T,9071,1578,1633,69,1270.942029,1463.347826,11664,1575,1130,11655,1525,1826,9071,1529.334583,1607.840811,5646,1543.787814,954.2665604,457377,1818.306441,965.3602586,6490,1591.753159,819.9711864,10235,1542.843771,1504.254519
d13_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,10712,1411,1464,54,1656.537037,486.0740741,13072,1469,1277,15151,1362,1939,10712,1399.519137,1468.565814,6313,1479.405829,1203.954063,410954,1429.14717,1101.206103,7442,1336.300457,1795.383499,10950,1401.065114,1456.371416
d13_08_G01_1_4_T,glasshouse_b1,Gladius,T1,R4,T,15543,1875,1550,73,1785.205479,948.4931507,12043,1885,1192,11951,1885,1192,15543,1922.501641,1559.831114,6762,1833.369269,1444.708814,558017,1604.174937,745.607693,5244,1630.948703,518.914569,21715,1862.584435,1295.323647
d13_09_G02_0_1_T,glasshouse_b1,5489,T0,R1,T,6374,2000,1925,51,2239.529412,2359.843137,12438,2068,2128,11787,1877,1525,6213,1996.194109,1937.621278,5974,1744.310345,1269.559592,350408,2030.961716,1598.639751,5111,1582.674623,348.7315594,6213,1996.194109,1937.621278
d13_10_G02_0_1_T,glasshouse_b1,5489,T0,R2,T,10878,2016,1164,58,1930.603448,1003.568966,12106,1831,924,20209,2094,1353,10878,1990.947693,1183.080438,6397,1965.817102,1047.259028,423571,1540.647018,972.300606,7186,1653.051489,326.1180072,8534,1951.876494,1653.954769
d13_11_G02_0_3_T,glasshouse_b1,5489,T0,R3,T,5522,2283,1374,65,1456.646154,2389.907692,12191,1464,2147,11740,1465,2171,5522,2272.516661,1379.339732,5790,1327.630052,2031.744387,378602,2061.35811,936.8901643,9125,1371.506411,2206.743014,6503,2228.574043,1309.118099
d13_12_G02_0_4_T,glasshouse_b1,5489,T0,R4,T,8318,1135,1313,49,1085.408163,1504.489796,13277,1195,1093,13854,1176,1145,8318,1135.427867,1313.210507,8196,1461.607491,903.3961689,432221,1050.03343,951.9046067,8237,1390.56052,877.8159524,7654,1124.942775,1366.705775
d13_13_G02_1_1_T,glasshouse_b1,5489,T1,R1,T,8774,1719,1518,60,2280.25,1442.35,10596,1839,1733,10895,1839,1733,8774,1702.781058,1521.819695,4448,1795.54384,1869.768435,519120,1875.878934,1045.491378,5011,1784.464378,1824.512672,10346,1684.831142,1396.207037
d13_14_G02_1_2_T,glasshouse_b1,5489,T1,R2,T,7175,2093,1528,51,2161.960784,1835.647059,8368,2010,1229,12188,2074,1463,7175,2082.487387,1534.430523,3652,1999.961665,1072.252464,375032,2035.506138,1033.827921,4402,2139.18219,1617.845979,8724,2045.026593,1407.341128
d13_15_G02_1_3_T,glasshouse_b1,5489,T1,R3,T,4072,1240,1302,52,1846.480769,1647.423077,9105,1177,1438,9105,1177,1438,4072,1237.522348,1300.467092,3141,1275.927412,1229.545049,357676,1457.640949,872.9812931,3409,770.1381637,960.4147844,3937,1241.94793,1292.538227
d13_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,5472,1716,1482,53,1563.113208,491.0943396,7295,2262,1527,7926,1686,1340,5441,1721.24683,1479.988789,2850,1664.365965,1309.077193,470129,1539.47015,1008.428846,2408,2237.980897,1394.267442,5418,1720.685862,1478.36471
d13_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,5552,1216,1062,62,1538.870968,451.1129032,16817,1587,1071,16566,1588,1066,5552,1229.822767,1072.714878,7669,1433.325727,958.1011866,436937,1437.662132,414.8391072,11378,1395.739409,1078.334242,7846,2134.240632,862.9871272
d13_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,11969,1173,1550,73,1427.246575,436.5068493,17975,1436,945,18006,1436,945,11969,1199.331105,1544.723703,7293,1260.016454,850.6539147,408760,1054.046805,923.4115716,9607,1408.341522,378.530967,11969,1199.331105,1544.723703
d13_19_G03_0_3_T,glasshouse_b1,CALINGIRI,T0,R3,T,8017,1683,1620,58,1532.224138,741.5689655,13330,1481,2053,14368,1480,2035,8017,1687.760634,1620.333541,6116,1572.269294,1154.689176,400692,1826.29177,938.5102298,9481,1566.081848,2078.667546,8017,1687.760634,1620.333541
d13_20_G03_0_4_T,glasshouse_b1,CALINGIRI,T0,R4,T,10148,1933,1915,66,1414.212121,406.5909091,16423,1931,1838,18283,1932,1745,10148,1886.126527,1911.592136,6790,1830.542121,1688.442563,393805,1997.022915,1805.877599,8737,1332.096715,435.6635001,10148,1886.126527,1911.592136
d13_21_G03_1_1_T,glasshouse_b1,CALINGIRI,T1,R1,T,6389,1832,2065,54,1767.037037,1300.5,12130,1462,1434,11220,1803,1850,6389,1835.914854,2067.792456,4866,1837.830662,2157.484998,412609,1865.642785,1553.13014,5199,1354.446817,1623.39373,6389,1835.914854,2067.792456
d13_22_G03_1_2_T,glasshouse_b1,CALINGIRI,T1,R2,T,7437,1992,1667,70,1790.457143,1234.471429,11549,1988,1704,14355,1765,1640,7437,2010.581417,1666.621487,5178,1872.977984,1577.936269,529743,1860.420368,1065.397162,4256,1667.942669,969.8768797,7437,2010.581417,1666.621487
d13_23_G03_1_3_T,glasshouse_b1,CALINGIRI,T1,R3,T,7855,1413,1812,64,1643.859375,1254.34375,10527,1448,1597,9298,1407,1762,7855,1451.494335,1806.025461,3942,717.0266362,1351.853374,523665,1702.038865,1609.002355,4591,1442.223916,2069.369636,7855,1451.494335,1806.025461
d13_24_G03_1_4_T,glasshouse_b1,CALINGIRI,T1,R4,T,8252,2227,1520,50,1283.74,883.4,15172,1291,1777,15719,1295,1764,8252,2200.928987,1527.732429,6433,1226.70356,1235.844085,338674,2054.840463,1479.280819,6331,1572.933344,507.9352393,5868,2248.957055,1724.532379
d13_25_G04_0_1_S,glasshouse_b1,Forrest,T0,R1,S,5168,1513,1549,54,1468.5,1704.481481,5168,1513,1549,5295,1515,1540,5168,1501.654605,1549.461494,2850,1450.643509,1730.955439,312674,1455.571087,1458.840821,2948,1361.049864,378.9772727,5168,1501.654605,1549.461494
d13_26_G04_0_2_S,glasshouse_b1,Forrest,T0,R2,S,4239,1363,1931,72,1481.819444,375.4305556,4886,1343,1874,5418,1471,1027,4239,1358.424628,1935.23331,2211,1384.488014,1335.030303,508933,1825.446957,1469.859591,2684,1486.837183,346.4068554,4239,1358.424628,1935.23331
d13_27_G04_0_3_S,glasshouse_b1,Forrest,T0,R3,S,4572,988,1507,60,1381.283333,321.15,7582,913,1715,7954,927,1679,3316,955.2023522,1607.487033,4591,1329.597691,644.5663254,389559,1824.58834,268.7554234,4658,1374.038429,338.4984972,3316,955.2023522,1607.487033
d13_28_G04_0_4_S,glasshouse_b1,Forrest,T0,R4,S,3734,1500,1924,70,1513.614286,408.5571429,9880,1135,770,9976,1130,777,3734,1500.414301,1924.2421,3734,1500.414301,1924.2421,366123,862.3600484,866.5370681,6787,1518.659643,400.9201414,3734,1500.414301,1924.2421
d13_29_G04_1_1_S,glasshouse_b1,Forrest,T1,R1,S,1908,1122,1260,60,1437.383333,328.5,4309,1164,1110,3629,1260,880,1908,1126.179245,1259.559748,1908,1126.179245,1259.559748,327758,876.0041921,1468.402227,2820,1433.636525,334.6287234,1908,1126.179245,1259.559748
d13_30_G04_1_2_S,glasshouse_b1,Forrest,T1,R2,S,3167,1065,1630,57,1030.912281,1713.210526,3574,1050,1670,3574,1050,1670,3167,1063.634039,1630.045785,1386,1040.854257,1693.007937,305050,882.4878249,1467.051346,1755,1389.646154,344.2062678,3167,1063.634039,1630.045785
d13_31_G04_1_3_S,glasshouse_b1,Forrest,T1,R3,S,2528,1301,1298,65,1179.338462,1503.123077,5870,1146,1544,6074,1152,1536,2528,1307.24644,1303.570016,2327,597.4202836,1417.67168,299716,880.5651317,1467.692702,3023,1521.892491,262.6983129,2004,604.9466068,1389.216068
d13_32_G04_1_4_S,glasshouse_b1,Forrest,T1,R4,S,2283,1356,726,64,1535.078125,376.40625,3871,1417,596,3871,1417,596,2283,1354.249233,725.0477442,1266,1395.916272,640.3246445,311226,1452.226205,284.7189631,1261,1388.180809,653.88977,2283,1354.249233,725.0477442
d13_33_G05_0_1_S,glasshouse_b1,Hartog,T0,R1,S,3117,1224,790,59,1163.898305,777.3728814,9444,1276,2107,9369,1276,2107,3117,1227.046519,790.5107475,5569,1144.558449,780.6518226,382208,1023.841529,2052.082615,4923,1161.490148,1963.761731,3162,1228.507274,786.8598988
d13_34_G05_0_2_S,glasshouse_b1,Hartog,T0,R2,S,7037,2145,1165,61,1557.836066,541.6721311,19724,1648,1432,17106,1569,1150,7037,2144.582493,1164.780304,7717,1793.818842,954.8394454,212660,2176.446896,893.2851829,11110,1523.032403,426.8008101,7646,2125.36542,1118.397463
d13_35_G05_0_3_S,glasshouse_b1,Hartog,T0,R3,S,3920,989,2011,71,1442.492958,324.4929577,8929,1048,1896,9973,378,1395,3920,988.7288265,2010.104847,4393,969.0621443,2046.478716,343005,290.3218554,1467.481299,4448,1488.33723,284.5472122,3920,988.7288265,2010.104847
d13_36_G05_0_4_S,glasshouse_b1,Hartog,T0,R4,S,4780,1158,1669,62,1251.080645,680.1612903,16665,1194,1577,16665,1194,1577,4780,1172.349372,1671.347699,6389,1210.40601,992.5146345,390110,874.7795878,1612.519769,6741,1504.215843,415.9873906,4563,1166.88867,1687.439404
d13_37_G05_1_1_S,glasshouse_b1,Hartog,T1,R1,S,2212,1070,1914,62,2341.870968,1919.66129,7136,1060,1723,7136,1060,1723,2212,1069.955244,1914.006329,4351,989.0176971,1954.485176,293138,879.2121492,2043.368124,4365,989.2508591,1953.727377,2212,1069.955244,1914.006329
d13_38_G05_1_2_S,glasshouse_b1,Hartog,T1,R2,S,4514,2180,1628,61,904.0163934,1993.918033,9720,1025,1651,9720,1025,1651,4514,2179.9856,1628.2572,3712,1051.648438,1922.168912,384295,881.862374,1326.383708,4767,1322.179148,595.1139081,4514,2179.9856,1628.2572
d13_39_G05_1_3_S,glasshouse_b1,Hartog,T1,R3,S,2055,1035,1775,63,1770.873016,1736.52381,4525,1814,1540,4525,1814,1540,2055,1034.817518,1773.981509,2320,1765.189655,1747.486638,323878,877.0542673,2048.351305,2324,1783.923408,1061.288296,2324,1783.923408,1061.288296
