Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y
d37_31_G04_1_3_S,augment_bootstrap,Forrest,T1,R3,S,3592.90859,677.1662764,3206.884563,61.92755048,739.9476862,1989.889746,12797.3523,769.8340064,2520.359831,12652.24297,785.3851923,2509.764914,4338.016016,656.9581153,3150.229792,5703.815931,821.5907054,2128.999503,361089.5912,2038.209645,3650.248788,5829.36,2095.678308,3608.340839,3061.631403,665.8943543,3152.566671
d33_30_G04_1_2_S,augment_bootstrap,Forrest,T1,R2,S,1148.690622,689.3015519,2256.128916,84.99891926,758.9693839,2240.95711,8130.456905,775.7287551,2433.257554,8454.869507,769.5872497,2408.960103,2859.601521,694.9826702,2266.457372,5069.125557,739.6497907,2408.03778,377966.4462,871.6472794,2492.866961,7052.243468,766.284912,2351.058549,2259.923504,699.2026585,2323.303642
d4_T005_14.10.23,augment_bootstrap,3811,na,R2,S,19148.20377,1774.486557,4898.917922,66.45038863,1613.481581,4874.266377,176665.6778,1216.019534,5401.100515,168840.9632,1389.70308,5328.200258,17406.73962,1791.569033,4854.04682,80156.85018,1708.254213,4929.511218,482034.8688,1887.329244,4820.308589,78486.14404,1679.636921,4994.547907,16390.57698,1776.596169,4903.212977
d43_19_G03_0_3_T,augment_bootstrap,CALINGIRI,T0,R3,T,11959.13557,1750.614636,2960.967094,54.11914899,1219.386031,3329.268234,70065.12984,1529.642696,1503.38742,99454.83713,1502.821388,3159.179039,12352.38487,1768.488676,2954.297583,42824.3228,1597.657752,1069.050204,882455.9686,1492.259618,2577.815892,44398.29032,1586.934257,1107.070492,11963.7278,1764.717303,2927.816389
d37_36_G05_0_4_S,augment_bootstrap,Hartog,T0,R4,S,9427.403076,729.7583651,4489.604284,73.43407916,728.0423614,2793.28575,31912.44173,1063.823676,2323.702752,32301.52194,1080.315553,2544.019763,8430.131871,748.0361975,4478.526309,15295.50534,682.1965127,3162.55979,484206.0888,834.7074866,3874.686453,22004.40129,711.3990793,3044.027209,8287.026902,737.5144999,4454.059889
d11_10_G02_0_1_T,augment_bootstrap,5489,T0,R2,T,10555.51679,1725.052465,785.6395733,79.2686773,1739.310577,290.6281321,14961.70784,1742.942119,447.1808741,11594.28624,1917.302915,1283.879777,7255.057938,1936.18731,1526.768587,6252.045994,1688.91287,291.5389644,481017.2286,1969.466809,455.1582859,6323.49574,1677.912425,285.8780821,6876.578989,1951.800861,1551.573381
d21_27_G04_0_3_S,augment_bootstrap,Forrest,T0,R3,S,9015.642731,720.9044383,2839.898123,87.91900973,1432.45455,685.158272,20542.10186,744.3087692,2487.283379,19436.78992,738.7127556,2478.257571,4955.267147,2699.335211,2065.913795,5388.950332,771.9704147,2171.984781,470966.6636,817.5556178,2616.792666,15382.83785,787.1649243,2283.038606,5432.651464,2705.561326,2033.340677
d07_11_G02_0_3_T,augment_bootstrap,5489,T0,R3,T,4504.444057,1532.91373,1290.376112,79.94992063,1479.42763,376.4726665,5825.271654,1508.260716,1208.338567,4364.753097,1524.347994,1170.454133,3579.604703,1502.753314,1262.037599,5283.487005,1454.774208,337.8670639,375867.2273,1469.398445,720.410081,1942.227384,1398.876635,360.6129607,4496.965981,1511.576433,1240.752016
d33_39_G05_1_3_S,augment_bootstrap,Hartog,T1,R3,S,6477.269643,1514.003011,2597.875766,66.6168253,1635.404086,2393.389,13190.44517,1539.498479,2218.098769,15042.50115,1546.369829,2214.342287,7287.457482,1512.577318,2600.956464,5633.710357,1578.128458,2556.99835,368137.1322,1440.008338,2199.69258,9708.117657,1630.952341,2419.146373,5959.488856,1529.064806,2616.045977
d05_23_G03_1_3_T,augment_bootstrap,CALINGIRI,T1,R3,T,1823.954349,1567.241713,984.2821671,66.21148371,1781.527924,357.3668418,2963.751474,1644.538495,379.023007,1159.548116,1640.457268,393.4818237,2465.00674,1540.075971,977.5830905,2433.672233,1793.232458,350.2132301,315004.5009,1478.491381,296.6246386,2796.455481,1775.904076,291.3814883,1773.890411,1566.06858,354.6527395
