Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Custom_points,Custom_center_x,Custom_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d7_T015_04.11.23,field,3811,na,R6,S,14873,205,1048,87,208.3908046,3389.724138,184733,1032,5002,187573,1043,4972,12783,2013.440663,192.5726355,99532,716.3080014,5724.437005,510305,236.4884549,6025.82999,79347,1952.965443,1262.865527,9571,194.0988402,6544.888726,1127,514,3559.00268,0.144422,642.326672,0.200267,0.18932,0.723392,7054.760163,123.058065,2242.016665,3311.4637,246.365165,1.173815,628.373569,84.48591,0.766177,1974.141562,265.468088,2.407016,99.379172,23.285069,0.393824
d35_21_G03_1_1_T,glasshouse_b2,CALINGIRI,T1,R1,T,23757,1915,3381,64,1540.296875,1710.109375,35796,1853,3997,36399,1426,2227,23757,1840.784232,3376.67719,15299,1663.307275,3045.593634,699578,1967.580637,2726.615538,15745,1801.25081,4467.606415,17916,1878.640377,2990.021322,246,206,1089.040687,0.189157,373.613473,0.385948,0.410526,1.026315,2111.855918,134.975804,1325.852861,232.377861,843.067432,13.595393,61.943642,350.412433,9.675998,194.601691,1100.853125,30.398045,13.372835,116.109678,5.49329
d33_46_G06_1_2_S,glasshouse_b1,3811,T1,R2,S,10966,1440,3885,68,1313.411765,4183.926471,18271,1802,2523,21419,1771,2807,10832,1520.698855,3896.666451,9269,1036.561549,2532.846262,400415,1419.429265,2090.09897,11290,1067.6938,2359.314083,10261,1048.408635,2551.072702,181,95,672.712596,0.141219,228.465639,0.373702,0.410526,0.725714,1323.469864,79.778778,795.743776,160.631087,511.248006,0.833503,37.920883,214.804355,0.567872,119.131968,674.827784,1.784024,7.521767,71.952208,0.304804
d17_24_G03_1_4_T,glasshouse_b1,CALINGIRI,T1,R4,T,8741,2262,2253,48,2294.375,2425.375,18722,1249,2409,18719,1249,2409,8741,2267.600503,2249.649125,6898,1051.039287,2423.292259,344650,2050.874795,1528.094661,8407,1119.260259,2880.831569,8242,1248.064426,2711.187455,63,25,526.699526,0.047465,193.542733,0.402624,0.435429,0.580571,1050.054724,69.034302,665.509261,52.831785,473.867741,0,12.16579,199.672387,0,38.219956,627.289305,0,2.351742,66.682559,0
d19_35_G05_0_3_S,glasshouse_b2,Hartog,T0,R3,S,3955,989,2190,54,449.7037037,1503.666667,16756,781,2574,15108,793,2558,3955,988.2045512,2189.897851,7737,1522.506915,827.3175649,535396,1066.55492,901.1068648,5514,1616.434168,721.8619877,3955,988.2045512,2189.897851,124,68,435.42966,0.156168,150.114249,0.37789,0.410526,0.649099,854.008895,53.399387,520.913804,100.599043,334.480211,0.350406,23.028326,142.565494,0.218193,72.345619,447.88271,0.685475,4.41271,48.879918,0.106759
d05_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,2783,1609,912,61,1594.508197,245.7704918,4057,1654,515,3603,1654,500,2783,1611.751707,911.7678764,1577,1875.195308,539.4679772,357372,1450.116727,816.6855601,1642,1646.80268,742.4725944,2902,1644.743625,420.6740179,25,15,124.541939,0.120441,46.641118,0.404401,0.435429,0.580571,245.597428,16.642708,158.55874,13.29995,111.241989,0,3.21196,47.258854,0,10.09067,148.46807,0,0.644967,15.99774,0
d37_45_G06_1_1_S,glasshouse_b1,3811,T1,R1,S,6235,1702,4553,77,1186.649351,1887.87013,29372,1429,2847,29886,1429,2847,6235,1707.10842,4553.017161,12958,988.9907393,2717.801976,497132,1206.854421,3184.141709,16364,1708.523344,3218.492056,6506,775.5946818,2213.932216,348,182,1051.911761,0.173018,362.190191,0.380356,0.435429,0.781618,2061.290838,129.306999,1259.375756,254.88312,794.68359,2.345052,58.29395,340.946438,1.631366,183.135846,1071.114823,5.125087,11.228161,117.183826,0.895012
d45_12_G02_0_4_T,glasshouse_b1,5489,T0,R4,T,18885,2853,2342,44,2538.613636,4105.931818,53931,1894,2435,51348,1983,3712,18885,2839.511411,2342.202806,23184,2436.656444,3324.446342,482497,2564.081447,1781.618458,29237,1634.143243,886.9883025,13398,2742.715107,2286.660621,551,439,1973.725744,0.222422,716.1592,0.406528,0.435429,1.105375,3785.87438,281.397446,2525.981557,411.522563,1489.92387,72.27931,98.077761,653.350978,52.503233,308.120374,2052.636626,165.224557,19.483491,231.393476,30.520478
d43_05_G01_1_1_T,glasshouse_b2,Gladius,T1,R1,T,8838,1459,4211,52,1186.865385,3299.769231,59466,1372,3507,64502,1361,3468,8838,1423.913103,4219.732066,26789,1653.521445,960.828997,371476,1459.768066,3804.803174,31318,1227.225174,2938.51207,7115,1448.958398,4341.634294,681,433,1719.224771,0.251858,582.634779,0.380756,0.410526,1.170179,3299.330605,221.358,2073.205232,525.030472,1148.90567,45.288629,126.380548,500.020346,33.407897,397.036202,1570.93424,105.23479,25.385101,176.009844,19.963054
d09_35_G05_0_3_S,glasshouse_b1,Hartog,T0,R3,S,2104,1473,542,56,672.2857143,991.8928571,6051,1478,522,5524,1478,522,2104,1472.667776,541.7913498,2309,660.0220875,1001.190559,344921,286.6868848,879.1986165,2492,1428.694623,255.3824238,2104,1472.667776,541.7913498,56,32,189.323929,0.169022,65.442924,0.377117,0.410526,0.598439,372.17478,22.446246,225.142013,33.548782,155.775147,0,8.460522,63.204406,0,26.579514,198.562498,0,1.750175,20.696071,0
