Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d27_04_G01_0_4_T,glasshouse_b2,Gladius,T0,R4,T,19226,2084,3354,48,2002.333333,4367.8125,39001,1649,1318,43824,2080,3319,19226,2031.999116,3353.547384,20815,1617.880615,848.5326928,411664,1965.242074,3390.853023,26102,1627.127423,954.3015861,18820,2040.666153,3379.370776,260,198,1090.981496,0.181488,401.95838,0.408295,0.435429,1.105375,2115.768482,151.988317,1400.556431,164.696642,908.069792,18.215062,39.708475,392.598952,13.503531,124.747853,1233.385984,42.422595,7.934805,135.993126,8.060386
d13_28_G04_0_4_S,glasshouse_b1,Forrest,T0,R4,S,3734,1500,1924,70,1513.614286,408.5571429,9880,1135,770,9976,1130,777,3734,1500.414301,1924.2421,3734,1500.414301,1924.2421,366123,862.3600484,866.5370681,6787,1518.659643,400.9201414,3734,1500.414301,1924.2421,74,40,260.901909,0.153314,96.268405,0.399275,0.435429,0.580571,512.144891,34.734829,329.323183,35.003232,225.898678,0,7.930118,96.896707,0,24.913201,304.409982,0,1.500819,33.23401,0
d33_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,9619,2202,2483,65,2440.446154,2743.692308,26461,2098,2346,28965,2349,3382,7555,948.4129715,2715.693448,15707,2388.030114,2266.489782,367949,2403.782252,3192.825248,17690,2388.941718,2323.453872,7559,948.3872205,2715.526525,309,183,977.713487,0.187171,351.972963,0.398059,0.435429,0.917964,1903.910019,131.362868,1224.698734,194.8118,775.643659,7.258028,44.992743,339.467851,5.278393,141.34887,1066.574351,16.775513,8.709263,119.53148,3.122125
d27_22_G03_1_2_T,glasshouse_b2,CALINGIRI,T1,R2,T,12422,2133,2427,63,2254.825397,3678.428571,24301,1737,1722,27216,1904,2950,12422,2126.679037,2426.628643,10207,2024.20388,2766.720388,452327,1991.531702,1704.019185,8007,1898.785438,1830.234545,10210,1148.918609,2559.822135,120,88,697.858109,0.1261,252.760521,0.400077,0.435429,0.580571,1370.437192,90.164776,877.432167,68.840896,629.017213,0,17.279847,261.982177,0,54.286242,823.145925,0,3.587586,86.57719,0
d45_45_G06_1_1_S,glasshouse_b1,3811,T1,R1,S,9327,1728,4463,56,1889.160714,4073.678571,37990,1743,4340,37722,1744,4366,9327,1755.199314,4467.975555,22812,1859.464931,4514.46984,385645,1910.478347,3450.957303,40020,1841.61087,4162.675037,6487,800.0707569,2208.624171,627,343,1574.20472,0.217888,510.434792,0.364164,0.410526,0.929368,3052.522748,185.294802,1806.460465,539.59096,1006.139453,28.474306,119.825428,435.38713,19.801668,376.442683,1367.809008,62.208774,22.519111,151.861828,10.913863
d49_44_G06_0_4_S,glasshouse_b2,3811,T0,R4,S,35104,2133,2626,70,2159.828571,2960.7,146733,1445,1727,148883,1726,3467,29201,2141.859491,2737.556899,75322,1627.10564,935.4364727,452769,1996.613032,2160.453472,56515,2126.669309,2516.700699,27802,2136.854903,2729.997374,2165,1849,4325.423955,0.427473,1468.610624,0.405826,0.410526,1.494337,7821.389307,676.524759,5570.162598,1435.520201,2404.16006,485.743693,332.29342,1079.009486,360.858629,1043.930566,3390.332637,1135.899396,64.520521,394.694091,217.310147
d21_22_G03_1_2_T,glasshouse_b1,CALINGIRI,T1,R2,T,11017,2145,2566,59,2136.576271,3075.033898,15822,1766,2068,20271,2130,2446,11017,2138.137242,2566.367886,7087,1971.091294,2516.652321,766361,2010.312348,1595.895628,7297,1885.56393,1905.896944,8591,2175.19276,2777.64521,84,58,532.192555,0.108983,196.513103,0.405697,0.435429,0.580571,1049.049253,70.265041,678.325216,40.672348,491.520206,0,10.6204,205.297222,0,33.364971,644.960245,0,2.263335,68.001706,0
d25_44_G06_0_4_S,glasshouse_b1,3811,T0,R4,S,10723,1234,3301,58,1130.448276,3335.034483,26236,1256,1662,27242,1222,3092,10723,1195.579689,3308.695235,12923,875.9646367,1848.383889,462465,1244.894695,2795.173803,10173,2146.930404,2882.89364,8891,1186.178158,3204.276009,189,119,1004.86094,0.118424,360.457475,0.393115,0.435429,0.821052,1978.430106,128.168086,1239.950322,164.821155,834.503726,5.536059,39.597956,351.236993,3.853498,124.400647,1103.443556,12.106119,7.924437,118.126194,2.117455
d49_38_G05_1_2_S,glasshouse_b2,Hartog,T1,R2,S,3278,2253,1954,57,1618.035088,631.5789474,41660,1833,1432,50506,1158,1727,3161,901.1917115,1670.248023,24242,837.8095867,2340.740863,375514,865.9751141,2449.757825,25779,844.1667249,2281.653672,3072,898.1009115,1676.467448,707,411,1357.461331,0.302771,400.404729,0.338397,0.324549,1.105375,2588.043028,144.809113,1458.4833,620.348158,700.272889,36.840284,137.514082,301.104663,25.369905,432.01323,946.487377,79.982693,25.835901,104.961539,14.011673
d29_44_G06_0_4_S,glasshouse_b1,3811,T0,R4,S,13703,1222,3554,51,2104.117647,2588.039216,33713,1032,2423,39661,702,3002,13478,1182.908666,3575.806129,13621,874.4352103,2991.60627,458429,1241.142997,2752.948832,13618,844.4232633,2734.455867,8134,1227.932383,3988.402508,275,193,1160.121526,0.166362,412.065009,0.391837,0.435429,0.781618,2262.486207,149.746909,1431.370915,234.923322,919.156282,6.041922,55.587895,395.921471,4.110147,174.634523,1243.823984,12.912408,10.980212,136.559532,2.207166
