Image_name,data_type,Genotype,Treatment,Replication,Group,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d05_21_G03_1_1_T,glasshouse_b1,CALINGIRI,T1,R1,T,37,19,98.700468,0.192502,34.959772,0.38759,0.435429,0.580571,193.256185,12.481135,121.000491,20.81091,77.889558,0,5.040945,33.474707,0,15.836596,105.163895,0,1.011527,11.469608,0
d05_22_G03_1_2_T,glasshouse_b1,CALINGIRI,T1,R2,T,32,16,65.220503,0.245322,22.672766,0.371843,0.410526,0.52332,128.473399,7.719912,77.674409,15.887619,49.332884,0,4.156026,20.568507,0,13.05654,64.617869,0,0.884838,6.835075,0
d05_23_G03_1_3_T,glasshouse_b1,CALINGIRI,T1,R3,T,25,11,82.983931,0.132556,28.07631,0.366086,0.410526,0.580571,163.69236,9.470256,96.836765,16.013017,66.970914,0,3.785556,27.038544,0,11.892674,84.944091,0,0.74502,8.725236,0
d05_24_G03_1_4_T,glasshouse_b1,CALINGIRI,T1,R4,T,44,28,113.228241,0.247288,37.845876,0.368701,0.410526,0.615789,219.728336,12.912313,131.614759,29.431955,83.548512,0.247774,7.331713,34.409989,0.152577,23.033256,108.102168,0.479334,1.488591,11.34993,0.073792
d05_25_G04_0_1_S,glasshouse_b1,Forrest,T0,R1,S,27,13,89.374489,0.145455,30.941347,0.377849,0.410526,0.929368,176.409084,11.044792,106.785483,21.011015,66.158408,2.205067,5.198633,27.094192,1.698049,16.331989,85.118915,5.334579,1.059315,8.945537,1.039941
d05_26_G04_0_2_S,glasshouse_b1,Forrest,T0,R2,S,18,12,87.451011,0.13722,34.591109,0.42721,0.435429,0.781618,171.698565,13.33293,118.711926,6.852659,78.273045,2.325307,1.64375,34.601763,1.541667,5.163993,108.704643,4.843289,0.330573,12.193349,0.809009
d05_27_G04_0_3_S,glasshouse_b1,Forrest,T0,R3,S,28,20,121.886275,0.164087,43.460084,0.386237,0.410526,0.580571,238.83165,15.133576,148.972958,16.414112,105.472162,0,3.893134,43.526432,0,12.23064,136.742317,0,0.760076,14.3735,0
d05_28_G04_0_4_S,glasshouse_b1,Forrest,T0,R4,S,27,11,117.18961,0.093865,44.376475,0.407566,0.435429,0.598439,232.489341,16.028158,149.956865,14.819677,102.369933,0,3.244618,44.488134,0,10.193269,139.763596,0,0.59637,15.431788,0
d05_29_G04_1_1_S,glasshouse_b1,Forrest,T1,R1,S,19,11,56.145168,0.195921,20.903184,0.405644,0.435429,0.580571,108.88891,7.741952,72.597699,5.916524,50.228644,0,1.467551,21.607705,0,4.610447,67.987252,0,0.29649,7.445462,0
d05_30_G04_1_2_S,glasshouse_b1,Forrest,T1,R2,S,17,7,42.76749,0.163676,15.678705,0.397387,0.435429,0.615789,83.945701,5.741036,53.970928,8.652357,33.909869,0.205263,2.076051,14.977031,0.126399,6.522105,47.051729,0.397093,0.411704,5.268201,0.061131
d05_31_G04_1_3_S,glasshouse_b1,Forrest,T1,R3,S,51,35,86.959887,0.402484,30.651683,0.391204,0.410526,0.580571,165.655177,11.398279,108.466057,15.470684,71.489203,0,3.703536,30.822282,0,11.635,96.831056,0,0.732544,10.665735,0
d05_32_G04_1_4_S,glasshouse_b1,Forrest,T1,R4,S,15,9,61.376354,0.146636,23.984152,0.4173,0.435429,0.580571,121.205941,8.869035,81.329331,5.360856,56.015498,0,1.358604,24.529326,0,4.268181,77.06115,0,0.282493,8.586542,0
d05_33_G05_0_1_S,glasshouse_b1,Hartog,T0,R1,S,29,11,153.568311,0.071629,50.764875,0.362601,0.410526,0.580571,305.431376,16.995138,174.57509,36.926191,116.64212,0,8.102884,47.466093,0,25.455962,149.119128,0,1.496499,15.498639,0
d05_34_G05_0_2_S,glasshouse_b1,Hartog,T0,R2,S,66,38,216.037509,0.175895,78.293458,0.393237,0.410526,0.781618,422.886736,27.828118,267.634371,30.88552,183.660185,1.491804,7.459299,76.743897,0.98747,23.434079,241.098064,3.102228,1.486587,25.824892,0.516639
d05_35_G05_0_3_S,glasshouse_b1,Hartog,T0,R3,S,34,14,115.038621,0.121698,38.962397,0.369505,0.410526,0.580571,227.188973,13.01611,133.43875,25.409582,89.629039,0,6.113035,36.361838,0,19.204666,114.234084,0,1.218624,11.797487,0
d05_36_G05_0_4_S,glasshouse_b1,Hartog,T0,R4,S,49,25,152.725744,0.163692,51.144072,0.366557,0.410526,0.580571,300.751069,17.524883,177.535085,37.487384,115.23836,0,8.678597,47.832576,0,27.264617,150.270468,0,1.679067,15.845816,0
d05_37_G05_1_1_S,glasshouse_b1,Hartog,T1,R1,S,31,17,68.826827,0.246997,22.172438,0.348747,0.410526,0.52332,134.822483,7.416646,77.140627,19.552293,49.274534,0,4.449897,20.104727,0,13.979765,63.160861,0,0.846393,6.570253,0
d05_38_G05_1_2_S,glasshouse_b1,Hartog,T1,R2,S,7,3,64.101505,0.046801,22.472634,0.379275,0.410526,0.580571,127.682559,7.581927,76.371785,10.28201,53.819495,0,2.506854,21.80304,0,7.875515,68.496271,0,0.497398,7.084529,0
d05_39_G05_1_3_S,glasshouse_b1,Hartog,T1,R3,S,12,6,40.979876,0.146413,14.546383,0.386495,0.410526,0.725714,80.880611,5.142534,49.954374,7.568943,32.842813,0.56812,1.872305,13.660176,0.36849,5.88202,42.914709,1.157646,0.3805,4.573831,0.188203
d05_40_G05_1_4_S,glasshouse_b1,Hartog,T1,R4,S,36,28,78.742958,0.355587,28.40284,0.401437,0.410526,0.846321,148.700868,11.200731,101.500152,15.294596,62.14937,1.298992,3.574143,27.858918,0.875441,11.2285,87.521372,2.750279,0.701779,10.030884,0.468068
d05_41_G06_0_1_S,glasshouse_b1,3811,T0,R1,S,34,16,137.241206,0.116583,47.489043,0.376687,0.410526,0.580571,271.838895,16.271079,162.82101,30.969658,106.271547,0,7.474377,44.35316,0,23.481447,139.339563,0,1.500405,14.770674,0
d05_42_G06_0_2_S,glasshouse_b1,3811,T0,R2,S,26,12,67.70731,0.177233,20.808385,0.33572,0.324549,0.52332,133.584862,6.469148,71.556059,26.954212,40.753098,0,6.654721,16.12228,0,20.906422,50.649637,0,1.350215,5.118933,0
d05_43_G06_0_3_S,glasshouse_b1,3811,T0,R3,S,33,21,100.801651,0.20833,38.583201,0.417615,0.435429,0.598439,195.816449,14.543391,133.383696,7.746283,93.055369,0,1.891874,40.565475,0,5.943498,127.440198,0,0.380109,14.163282,0
d05_44_G06_0_4_S,glasshouse_b1,3811,T0,R4,S,43,25,124.833413,0.200267,41.074309,0.359313,0.410526,0.580571,244.237671,13.487212,141.558732,27.512902,97.320511,0,6.59196,38.444031,0,20.709253,120.849479,0,1.306215,12.180997,0
d05_45_G06_1_1_S,glasshouse_b1,3811,T1,R1,S,34,20,76.749197,0.260589,25.953865,0.368545,0.410526,0.598439,148.957706,9.081051,90.354443,20.033254,56.715943,0,4.570874,24.174942,0,14.406624,75.947819,0,0.871467,8.209583,0
d05_46_G06_1_2_S,glasshouse_b1,3811,T1,R2,S,32,16,83.481616,0.191659,28.492372,0.375898,0.324549,0.929368,162.613219,10.721159,99.378096,24.555449,54.123117,4.80305,5.900435,22.051376,3.681219,18.536763,69.276442,11.564891,1.172042,7.314069,2.235047
d05_47_G06_1_3_S,glasshouse_b1,3811,T1,R3,S,21,13,59.185875,0.219647,21.066449,0.395797,0.410526,0.725714,114.248881,7.918831,74.67078,12.2032,45.931457,1.051218,3.259825,19.807457,0.701166,10.241041,62.226962,2.202777,0.703447,6.846905,0.368478
d05_48_G06_1_4_S,glasshouse_b1,3811,T1,R4,S,27,15,74.438478,0.201509,23.889353,0.350222,0.324549,0.598439,146.158731,7.893084,83.164419,20.260398,54.17808,0,4.861132,21.610925,0,15.271696,67.892723,0,0.97024,6.922845,0
d09_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,95,63,308.714181,0.204072,118.762106,0.422073,0.435429,0.725714,596.415577,46.311782,411.658495,43.409951,262.640969,2.663261,10.028732,119.260302,1.722381,31.506192,374.741284,5.411019,1.935252,43.499206,0.877324
d09_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,75,45,294.200325,0.152957,118.698907,0.437986,0.435429,0.740086,572.466613,47.188407,408.455299,29.912398,262.578409,1.709518,7.075793,121.792111,1.123903,22.22926,382.695194,3.530845,1.403172,45.202144,0.583091
d09_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,72,50,352.562797,0.141819,143.204454,0.442915,0.435429,0.917964,688.012805,57.562331,494.661089,24.745239,319.625531,8.192026,5.885229,145.910903,5.614695,18.488991,458.39262,17.779478,1.17261,53.291455,3.098265
d09_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,59,41,350.502354,0.116975,140.555348,0.43315,0.435429,0.725714,689.781406,53.521486,477.067816,20.948759,329.130618,0.422977,4.774,146.804821,0.276581,14.997964,461.200947,0.868905,0.915503,52.463322,0.142661
d09_05_G01_1_1_T,glasshouse_b1,Gladius,T1,R1,T,65,43,250.34994,0.17176,96.300005,0.416145,0.435429,0.781618,488.938517,36.259194,328.90102,36.338692,211.015189,2.996059,8.585424,94.127653,1.979369,26.971904,295.710743,6.218373,1.693988,33.531752,1.033454
d09_06_G01_1_2_T,glasshouse_b1,Gladius,T1,R2,T,36,18,323.139601,0.055703,127.847012,0.425626,0.435429,0.580571,643.28528,47.153112,433.923547,14.783575,308.356026,0,3.894064,134.228091,0,12.233563,421.689984,0,0.836417,46.316696,0
d09_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,51,29,320.780694,0.090404,126.261762,0.423864,0.435429,0.740086,635.084038,46.61065,427.952699,21.468325,298.351332,0.961037,5.272238,130.258719,0.690618,16.563223,409.219835,2.169642,1.073594,45.146824,0.390233
d09_08_G01_1_4_T,glasshouse_b1,Gladius,T1,R4,T,38,32,317.97473,0.100637,128.542205,0.437022,0.435429,0.870857,624.538504,49.534794,436.968896,12.89156,294.706707,10.376463,3.113857,128.284058,7.693605,9.782469,403.016253,24.170173,0.625194,44.411259,4.498342
d09_09_G02_0_1_T,glasshouse_b1,5489,T0,R1,T,52,26,239.199879,0.108696,94.367158,0.423524,0.435429,0.580571,471.797894,35.083401,318.091698,21.451601,217.748278,0,4.881578,96.336845,0,15.33593,302.755768,0,0.934097,34.149304,0
d09_10_G02_0_1_T,glasshouse_b1,5489,T0,R2,T,49,35,300.813844,0.116351,116.639661,0.41681,0.435429,0.598439,593.247122,42.162939,393.523566,19.039135,281.774709,0,4.716971,120.54547,0,14.818801,378.704764,0,0.960478,41.202461,0
d09_11_G02_0_3_T,glasshouse_b1,5489,T0,R3,T,66,44,243.448512,0.180736,92.165714,0.410214,0.435429,0.615789,474.462774,33.940991,315.689927,27.210531,216.135349,0.102631,6.404351,94.019675,0.063199,20.119862,295.371519,0.198547,1.256847,32.653578,0.030566
d09_12_G02_0_4_T,glasshouse_b1,5489,T0,R4,T,59,43,286.16693,0.150262,114.454017,0.430101,0.435429,0.649099,559.975568,43.222955,388.493374,17.26434,268.624755,0.277834,4.058051,119.422889,0.180342,12.748743,375.17807,0.566561,0.798349,42.332667,0.091938
